Questions,Answers,Context Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How can the HPLMN update the ""Operator controlled signal threshold per access technology"" in a Mobile Station (MS)?","The HPLMN can update the ""Operator controlled signal threshold per access technology"" via steering of roaming information. When the ME receives a USAT REFRESH command indicating updates to this information, an MS that applies Signal Level Enhanced Network Selection shall use the updated thresholds provided by the HPLMN for subsequent PLMN selections.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What is the intended usage of the ""Operator controlled signal threshold per access technology,"" and which devices is it expected to be supported by?","The ""Operator controlled signal threshold per access technology"" is intended for IoT stationary devices (as specified in 3GPP TS 22.011 [19]). It is not expected to be supported by non-IoT devices.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the aim of the idle mode processes?,The aim of the idle mode processes is to ensure that the registered PLMN is the selected PLMN and that the registered SNPN is the selected SNPN.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How is the overall state of the mobile defined in the context of PLMN and SNPN processes?,"The overall state of the mobile is a composite of the states of PLMN selection, SNPN selection, cell selection, and location registration processes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When may an event in one process trigger a change of state in another process?,"An event causing a change of state in one process may trigger a change of state in another process, for example, camping on a cell in a new registration area triggers a location registration request.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the significance of the states A1 to A6 in the PLMN selection process in automatic mode?,"States A1 to A6 in automatic mode represent different scenarios such as trying to perform a location registration, successfully registering on a PLMN, attempting to register on a PLMN in the ordered list, waiting for PLMNs to appear, searching for the HPLMN, and having no SIM.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In manual mode, what does state M3 signify in the PLMN selection process?","In manual mode, state M3 signifies that the mobile station (MS) has failed to register on the selected PLMN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What are the conditions for an MS to successfully register on a PLMN in both automatic and manual modes?," For an MS to successfully register on a PLMN, it must find a suitable cell of the PLMN to camp on, and an LR request from the MS must be accepted in the registration area of the cell.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" What information does the Mobile Equipment (ME) utilize for PLMN selection, and how is the priority determined?","The ME utilizes information stored in the SIM, such as ""HPLMN Selector with Access Technology"" and ""Operator Controlled PLMN Selector with Access Technology."" Priority is determined based on the specified order in these data files.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does the MS perform PLMN selection at switch-on or recovery from lack of coverage in automatic mode?," At switch-on, the MS selects the registered PLMN or equivalent PLMN (if available) using all access technologies. If signal level enhanced network selection is applicable, it considers the received signal quality from a candidate PLMN/access technology combination.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the purpose of the Automatic Network Selection Mode Procedure?,"The Automatic Network Selection Mode Procedure involves the MS selecting and attempting registration on other PLMN/access technology combinations in a specified order, considering factors such as HPLMN, user-controlled PLMN selector, operator-controlled PLMN selector, signal quality, and disaster roaming services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Under what conditions does the MS enter the state ""LR pending"" in the location registration process?","The MS enters the ""LR pending"" state after starting the LR process and is waiting for the outcome, specifically, a response message from the network.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 What should an MS in eCall only mode do if it cannot select any PLMN according to l)?,An MS in eCall only mode that cannot select any PLMN according to l) can perform a second iteration of i to v with no restriction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In which scenarios should the MS consider a PLMN indicated by an NG-RAN cell if it supports CAG and is provisioned with a non-empty ""CAG information list""?","The MS should consider a PLMN indicated by an NG-RAN cell if it supports CAG and is provisioned with a non-empty ""CAG information list"" under the following conditions:The cell is a CAG cell and broadcasts a CAG-ID for the PLMN with authorization based on the ""Allowed CAG list"" of the entry.The cell is not a CAG cell, and there is no entry with the PLMN ID of the PLMN in the ""CAG information list"" or the entry does not include the ""indication that the MS is only allowed to access 5GS via CAG cells.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What action should the MS take if it supports CIoT 5GS optimizations and cannot select any PLMN according to o)?,"As an implementation option, the MS supporting CIoT 5GS optimizations that cannot select any PLMN according to o) can perform a second iteration of i to v with no restriction.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When does the MS use the PLMN/access technology combination in the ""Operator Controlled PLMN Selector with Access Technology"" stored in the ME in iii)?","In iii), the MS shall use the PLMN/access technology combination in the ""Operator Controlled PLMN Selector with Access Technology"" stored in the ME if the last update of the ""Operator Controlled PLMN Selector with Access Technology"" was due to receiving steering of roaming information containing the ""list of preferred PLMN/access technology combinations.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does the MS determine the MS determined PLMN with disaster condition in q1) for vi and vii?,"A: The MS determines the MS determined PLMN with disaster condition in q1) for vi and vii as follows:If the MS's RPLMN is included in any ""list of one or more PLMN(s) with disaster condition for which disaster roaming services is offered by the available PLMN,"" the MS considers that the MS's RPLMN is the MS determined PLMN with disaster condition.If the MS's RPLMN is not included or not allowable, the MS determines the MS determined PLMN with disaster condition from allowable PLMNs in a specified order.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under what conditions does the MS perform vi and vii to select a PLMN for disaster roaming services?,"The MS performs vi and vii to select a PLMN for disaster roaming services only if it supports MINT, disaster roaming is enabled in the UE, there is no available allowable PLMN, and certain conditions related to NG-RAN cell broadcasting are met.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 In which scenario does the MS not consider PLMNs if it supports NR RedCap and camps on an NR cell connected to 5GCN?,The MS does not consider PLMNs if it supports NR RedCap and camps on an NR cell connected to 5GCN.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What should the MS do in i to vii if it detects a forbidden PLMN in satellite NG-RAN access technology?,"In i to vii, if the MS detects a forbidden PLMN in satellite NG-RAN access technology, it shall not consider the PLMN as a PLMN selection candidate for satellite NG-RAN access technology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What conditions trigger the MS to stop applying signal level enhanced network selection in v)?,"The MS shall stop applying signal level enhanced network selection in v) if signal level enhanced network selection is applicable, and the received signal quality of the candidate PLMN/access technology combination is lower than the threshold value indicated for the access technology in the ""Operator controlled signal threshold per access technology.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What does the MS indicate to the user if it cannot achieve successful registration and does not support access to RLOS?,"If successful registration cannot be achieved, and the MS does not support access to RLOS, the MS indicates ""no service"" to the user, waits until a new PLMN is available and allowable, and then repeats the procedure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What conditions must be met for the MS to consider a PLMN indicated by an NG-RAN cell when the MS supports CAG and is provisioned with a non-empty ""CAG information list""?","The MS must consider a PLMN indicated by an NG-RAN cell when the MS supports CAG and is provisioned with a non-empty ""CAG information list"" if: The cell is a CAG cell and broadcasts a CAG-ID for the PLMN. There exists an entry with the PLMN ID of the PLMN in the ""CAG information list,"" and the CAG-ID is authorized based on the ""Allowed CAG list"" of the entry.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What should the MS consider when it only supports control plane CIoT 5GS optimization and camps on an E-UTRA cell connected to 5GCN, which is not an NB-IoT cell?",When the MS only supports control plane CIoT 5GS optimization and camps on an E-UTRA cell connected to 5GCN (not an NB-IoT cell):The MS shall not consider PLMNs that do not advertise support of 5GS services with control plane CIoT 5GS optimization.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In which situations should the MS perform vi and vii to select a PLMN for disaster roaming services?,"The MS should perform vi and vii to select a PLMN for disaster roaming services only if: The MS supports MINT. The indication of whether disaster roaming is enabled in the UE stored in the ME is set to ""Disaster roaming is enabled in the UE."" There is no available PLMN that is allowable. The MS is not in 5GMM-REGISTERED state and 5GMM-CONNECTED mode over non-3GPP access. The MS does not have a PDN connection via an ePDG connected to EPC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under what conditions does the MS enter a limited service state?,"The MS enters a limited service state under the following conditions:If no PLMNs are available and allowable, and the MS does not support access to RLOS, the MS indicates ""no service"" to the user. If an LR failure prevents registration on available and allowable PLMNs or an entry in certain lists prevents a registration attempt, the MS selects the first such PLMN again and enters a limited service state.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When does the MS automatically register on a different PLMN after manual network selection?,"The MS may automatically register on a different PLMN after manual network selection if: The MS supports MINT. The ""list of PLMN(s) to be used in disaster condition"" is non-empty. There is no available PLMN declared as an equivalent PLMN by the RPLMN. The RPLMN of the MS is considered as the MS determined PLMN with disaster condition.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What actions should the MS take if the user does not select a PLMN during the PLMN selection procedure?,"If the user does not select a PLMN, the selected PLMN shall be the one that was selected before the PLMN selection procedure started. If no such PLMN was selected or that PLMN is no longer available, the MS shall attempt to camp on any acceptable cell and enter the limited service state.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under what conditions should manual CSG selection not be performed?,Manual CSG selection should not be performed if the MS has a PDN connection for emergency bearer services.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does the MS handle the situation when the user selects a CSG within the RPLMN whose CSG identity is not included in the Allowed CSG list or Operator CSG list?,"If the user selects a CSG within the RPLMN whose CSG identity is not included in the Allowed CSG list or Operator CSG list, the MS shall attempt to register on a cell that corresponds to the CSG. After registration, the MS shall return to automatic CSG selection mode, regardless of the registration outcome.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What actions does the MS take when the user selects a CSG in a PLMN different from the RPLMN?,"When the user selects a CSG in a PLMN different from the RPLMN, the MS takes the following actions: i) The MS stores a duplicate of the RPLMN and a duplicate of the PLMN selection mode before the manual CSG selection, unless this manual CSG selection follows another manual CSG selection, a PLMN selection triggered by ProSe communications, a PLMN selection triggered by V2X communication over PC5, or a PLMN selection triggered by A2X communication over PC5. ii) The MS enters Manual mode of PLMN selection in state M4 (Trying PLMN). iii) The MS selects the PLMN corresponding to the CSG and attempts to register on the selected CSG cell in the PLMN. If successful, the MS remains in manual CSG selection mode until the user selects automatic CSG selection mode, the MS is switched off, or specific conditions are met (items iv to viii). iv) If the registration fails or the MS is no longer in the coverage of the selected CSG, the MS returns to the stored duplicate PLMN selection mode and automatic CSG selection mode, using the stored duplicate value of RPLMN for further action. v) If the MS is switched off while on the selected CSG and switched on again, it returns to the stored duplicate PLMN selection mode, unless the MS provides the optional feature of user preferred PLMN selection operating mode at switch-on. Additionally, the MS uses the stored duplicate value of RPLMN and automatic CSG selection mode for further action. vi) If the user initiates a PLMN selection while on the selected CSG, the MS deletes the stored duplicate PLMN selection mode, uses the stored duplicate value of RPLMN as RPLMN, returns to automatic CSG selection mode, and follows the procedures specified in clause 4.4.3.1. vii) If the MS's E-UTRA capability is disabled due to successful registration and the selected CSG is not available on UTRAN radio access technology, the MS re-enables the E-UTRA capability, returns to the stored duplicate PLMN selection mode and automatic CSG selection mode, using the stored duplicate value of RPLMN for further action. viii) If the MS's E-UTRA capability is disabled due to performing the service request procedure, the selected CSG is not available on UTRAN radio access technology, and the MS performed a CS call, then after the call ends, the MS re-enables the E-UTRA capability, returns to the stored duplicate PLMN selection mode and automatic CSG selection mode, using the stored duplicate value of RPLMN for further action.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the procedure for automatic network selection mode when the MS initiates reselection and registration?,"In automatic network selection mode, when the user initiates reselection and registration, the MS follows the following procedures: i) Attempts registration on PLMN/access technology combinations in the following order: a) HPLMN (or the highest priority EHPLMN if the EHPLMN list is present and not empty). b) PLMN/access technology combinations in the ""User Controlled PLMN Selector with Access Technology"" data file in the SIM (excluding the previously selected combination). c) PLMN/access technology combinations in the ""Operator Controlled PLMN Selector with Access Technology"" data file in the SIM or stored in the ME (excluding the previously selected combination). d) Other PLMN/access technology combinations with the received high-quality signal in random order (excluding the previously selected combination). e) Other PLMN/access technology combinations in order of decreasing signal quality or the previously selected combination, ignoring its signal quality. ii) The equivalent PLMNs list is not applied to user reselection in automatic network selection mode.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What is the interpretation of timer T for an MS supporting both EC-GSM-IoT, Category M1, or Category NB1 and other access technologies?","For an MS supporting both EC-GSM-IoT, Category M1, or Category NB1 and other access technologies: If the MS is using EC-GSM-IoT, Category M1, or Category NB1 at the time of starting timer T, T is either in the range of 2 hours to 240 hours, using 2-hour steps from 2 hours to 80 hours and 4-hour steps from 84 hours to 240 hours, or it indicates no periodic attempts. The default value for T is 72 hours if no value is stored in the SIM. If the MS is not using EC-GSM-IoT, Category M1, or Category NB1 at the time of starting timer T, T is either in the range of 6 minutes to 8 hours in 6-minute steps, or it indicates no periodic attempts. If the MS is using satellite NG-RAN access technology or satellite E-UTRAN access technology with a shared MCC at the time of starting timer T, T is in the range of 6 multiplied by integer M minutes to 8 multiplied by integer M hours in 6 multiplied by integer M minutes steps, with a default value of M equal to one if no value is stored in the SIM. If no value for T is stored in the SIM, a default value of 60 minutes is used for T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under what conditions does the MS not stop timer T?,The MS does not stop timer T when: It activates power-saving mode (PSM) or mobile-initiated connection only mode (MICO) as described in 3GPP TS 23.682 [27A] or discontinuous coverage due to discontinuous reception. The access stratum is deactivated due to discontinuous coverage (as specified in 3GPP TS 23.401 [58] and 3GPP TS 24.301 [23A]).It activates unavailability period as described in 3GPP TS 24.501 [64].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Under what conditions is Fast First Higher Priority PLMN search enabled, and what actions does the MS take during attempts to access the HPLMN, EHPLMN, or higher priority PLMN?","Fast First Higher Priority PLMN search is enabled if the corresponding configuration parameter is present and set to enabled. The MS takes the following actions during attempts to access the HPLMN, EHPLMN, or higher priority PLMN: a) Periodic attempts are performed in automatic mode when the MS is roaming and not attached for emergency bearer services, registered for emergency services, has a PDU session for emergency services, or has a PDN connection for emergency bearer services. b) The first attempt is made after a period of at least 2 minutes and at most the time configured for T:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What are the conditions and procedures for automatic and manual network selection modes when the MS is registered for disaster roaming services?,"When the MS is registered for disaster roaming services: Periodic attempts to obtain service on an allowable PLMN of the same country as the current serving PLMN are performed in accordance with the Automatic Network Selection Mode in clause 4.4.3.1.1. Timer T is either in the range of 30 minutes to 40 hours in 30-minute steps, or it indicates no periodic attempts shall be made, with a default value of 60 minutes if not stored in the SIM. Attempts are made in automatic mode when the MS is registered for disaster roaming services and does not have a PDU session for emergency services. The first attempt is made after a period of at least 2 minutes and at most the time configured for T upon selecting a VPLMN for disaster roaming. Subsequent attempts are made if the MS is registered for disaster roaming services at time T after the last attempt. Periodic attempts are performed only in idle mode or 5GMM-CONNECTED mode with RRC inactive indication. Attempts may be postponed under various conditions, including power saving mode (PSM), eMBMS transport service, broadcast MBS service, eDRX, relaxed monitoring, Mobile Initiated Connection Only mode (MICO), and unavailability period activation. The MS limits attempts to access allowable PLMN/access technology combinations of the same country as the current serving VPLMN. Exceptions apply for satellite NG-RAN access or satellite E-UTRAN access with a shared MCC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the procedure for Manual CSG selection?,"The procedure for Manual CSG selection follows the steps outlined in clause 4.4.3.1.3.3. When the user selects a CSG in a PLMN different from the RPLMN, the MS performs actions such as storing duplicates, entering Manual mode of PLMN selection, attempting to register on the selected CSG cell, and handling various scenarios based on successful registration, failure, or specific conditions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Describe the conditions and actions involved in the Investigation Scan for higher prioritized PLMN.,"The Investigation Scan for higher prioritized PLMN is performed when indicated in the SIM, and it is mandatory if the ME supports GSM COMPACT. The MS, capable of both GSM voice and packet service, investigates if there is service from a higher prioritized PLMN not offering GSM voice service (HPLMN, EHPLMNs, or PLMN in a ""PLMN Selector with Access Technology"" data file on the SIM). The scan follows the requirements of automatic network selection mode, excluding specific conditions related to periodic attempts and the first attempt. The investigation scan is triggered after each successful PLMN selection and registration when the MS is in idle mode and may rely on information from the previous PLMN selection. Additionally, the scan is performed when the MS is unable to obtain normal service from a PLMN, and it may rely on stored information to avoid unnecessary rescans.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Under what conditions does the investigation scan take place, and what actions does the MS take after performing the investigation scan?","The investigation scan takes place only in automatic selection mode and is performed by an MS capable of both voice and packet data. It is initiated if the selected PLMN is not already the highest prioritized PLMN in the current country (HPLMN in home country, otherwise according to PLMN selector lists). After performing the investigation scan, the MS returns to the RPLMN. If a higher prioritized PLMN not offering GSM voice service is found, this information is indicated to the user, but the MS does not automatically select the PLMN unless requested by the user.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Describe the conditions and procedures for periodic attempts related to signal level enhanced network selection. What factors trigger these attempts, and what actions does the MS take during these attempts?","Periodic attempts for signal level enhanced network selection are triggered under the following conditions: Signal level enhanced network selection is applicable (see clause 3.11).The received signal quality of the registered PLMN observed over an averaging window is lower than the ""Operator controlled signal threshold per access technology."" The procedures are as follows: a) Periodic attempts are performed only in automatic mode and not while the MS is attached for emergency bearer services, registered for emergency services, has a PDN connection for emergency bearer services, or has a PDU session for emergency services. b) The MS starts timer TSENSE if the received signal quality of the current cell of the registered PLMN is below the ""Operator controlled signal threshold per access technology"" either upon registration or any time later. c) If, upon expiry of timer TSENSE, the received signal quality of the registered PLMN observed over an averaging window is equal to or greater than the ""Operator controlled signal threshold per access technology,"" the MS stays on the current selected PLMN. d) If the received signal quality of the registered PLMN and all other available and allowable PLMN/access technology combinations are lower than the ""Operator controlled signal threshold per access technology,"" the MS stops applying signal level enhanced network selection and repeats the network selection procedure. e) Periodic attempts are performed only in idle mode or 5GMM-CONNECTED mode with RRC inactive indication. f) Attempts may be postponed under various conditions, including power saving mode (PSM), discontinuous coverage, eMBMS transport service, eDRX, relaxed monitoring, and Mobile Initiated Connection Only mode (MICO). g) The MS limits attempts to access allowable PLMN/access technology combinations of the same country as the current serving VPLMN, with exceptions for certain scenarios involving satellite NG-RAN access or satellite E-UTRAN access.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What actions does the MS take in abnormal cases, such as when there is no SIM, an authentication failure, or an ""IMSI unknown in HLR"" response?","In abnormal cases: If there is no SIM in the MS, an authentication failure occurs, or the MS receives an ""IMSI unknown in HLR,"" ""illegal ME,"" or ""illegal MS"" response to an LR request, effectively, there is no selected PLMN, and the MS enters the ""No SIM"" state. When in the ""No SIM"" state, no further attempts at registration on any PLMN are made until the MS is switched off and on again, or a SIM is inserted. If performing GPRS attach, EPS attach for emergency bearer services, an initial registration for emergency services, or EPS attach for access to RLOS, the PLMN of the current serving cell is temporarily considered as the selected PLMN. In Automatic Network Selection mode, if the MS is in the ""not updated"" state with one or more suitable cells to camp on, and after the maximum allowed unsuccessful LR requests, the MS may continue (or start if not running) the user reselection procedure of clause 4.4.3.2.1. A multi-mode MS supporting 3GPP2 access technology may fall back to 3GPP2 mode if no SIM is inserted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Explain the process of Steering of Roaming when the MS receives a USAT REFRESH command qualifier of type ""Steering of Roaming.""","When the MS receives a USAT REFRESH command qualifier of type ""Steering of Roaming,"" the MS takes the following actions: a) Replaces the highest priority entries in the ""Operator Controlled PLMN Selector with Access Technology"" list stored in the ME with the list provided in the REFRESH command, if any, or replaces the SOR-CMCI in the ME with the SOR-CMCI provided in REFRESH command, if any, or both. b) Deletes the PLMNs identified by the list in the REFRESH command from the Forbidden PLMN list and from the Forbidden PLMNs for GPRS service list, if they are present in these lists. This includes any information stored in the SIM and the ME internal memory. c) Takes the new information into account in subsequent attempts to access a higher priority PLMN. d) Attempts to obtain service on a higher priority PLMN as specified in clause 4.4.3.3 by acting as if timer T that controls periodic attempts has expired.To avoid unnecessary signaling, the network operator should avoid repeatedly using steering of roaming for a particular MS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What does Table 1 in the provided text represent?,Table 1 illustrates the Effect of LR (Location Registration) Outcomes on PLMN (Public Land Mobile Network) Registration. It includes information on different registration states and their corresponding outcomes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In which LR Task State is the Registration Status ""Unsuccessful"" when there is no IMSI (International Mobile Subscriber Identity)?","In the ""Idle, No IMSI"" LR Task State, the Registration Status is ""Unsuccessful"" when there is no IMSI.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
